Geneid,ABA_total_RNA_seq_Rep1,ABA_total_RNA_seq_Rep2,CK_total_RNA_seq_Rep1,CK_total_RNA_seq_Rep2,CS_Leaf_total_RNA_seq_Rep1,CS_Leaf_total_RNA_seq_Rep2,CS_Spikelet_Feekes10_total_RNA_seq_Rep1,CS_Spikelet_Feekes10_total_RNA_seq_Rep2,MeJA_total_RNA_seq_Rep1,MeJA_total_RNA_seq_Rep2,SA_total_RNA_seq_Rep1,SA_total_RNA_seq_Rep2
TraesCS1B03G0031600,0,0,0,0,0,0,20,42,0,0,0,0
TraesCS1B03G0032500,4,0,17,0,0,0,79,190,8,2,10,29
TraesCS1B03G0032600,0,6,2,0,3,0,0,0,0,5,1,3
TraesCS1B03G0036300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B03G0036500,0,0,0,0,0,0,5,0,0,0,0,0
TraesCS1B03G0038700,0,0,0,0,0,0,4,4,0,1,0,31
TraesCS1B03G0041000,63,37,101,23,42,61,92,228,49,54,74,145
TraesCS1B03G0041100,0,0,0,0,0,0,5,4,0,0,0,0
TraesCS1B03G0042000,245,355,745,271,186,151,14,19,317,416,429,399
TraesCS1B03G0042800,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1B03G0043300,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS1B03G0043700,186,180,276,62,75,112,288,589,176,134,188,266
TraesCS1B03G0044100,10,15,9,0,0,0,0,1,10,15,10,2
TraesCS1B03G0045800,197,131,82,14,91,124,758,1820,135,144,256,378
TraesCS1B03G0045900,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1B03G0051100,0,1,1,0,0,0,73,255,0,0,0,99
TraesCS1B03G0052600,0,0,0,1,0,5,3,0,0,8,0,16
TraesCS1B03G0052700,0,0,0,0,0,0,0,1,0,1,1,2
TraesCS1B03G0054200,0,0,0,0,1,0,95,179,0,0,0,136
TraesCS1B03G0054400,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS1B03G0054700,0,0,0,0,0,0,0,1,0,0,0,2
TraesCS1B03G0055700,0,0,0,0,0,0,11,0,0,0,0,0
TraesCS1B03G0062100,3,8,1,0,1,0,4,1,0,0,2,0
