Geneid,ABA_total_RNA_seq_Rep1,ABA_total_RNA_seq_Rep2,CK_total_RNA_seq_Rep1,CK_total_RNA_seq_Rep2,CS_Leaf_total_RNA_seq_Rep1,CS_Leaf_total_RNA_seq_Rep2,CS_Spikelet_Feekes10_total_RNA_seq_Rep1,CS_Spikelet_Feekes10_total_RNA_seq_Rep2,MeJA_total_RNA_seq_Rep1,MeJA_total_RNA_seq_Rep2,SA_total_RNA_seq_Rep1,SA_total_RNA_seq_Rep2
TraesCS3A03G0064600,15,5,9,4,4,17,343,669,11,14,10,144
TraesCS3A03G0078400,126,262,439,49,2,85,2,0,219,84,393,136
TraesCS3A03G0089000,22,29,41,10,7,50,18,32,50,61,41,43
TraesCS3A03G0090200,5,15,7,8,6,17,26,47,14,10,5,35
TraesCS3A03G0095100,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS3A03G0114400,3,0,5,0,1,3,55,58,2,0,1,14
TraesCS3A03G0145300,61,15,31,3,14,27,47,53,36,30,91,66
TraesCS3A03G0145400,35,28,42,14,24,28,52,57,35,35,46,50
TraesCS3A03G0146100,255,227,112,58,119,142,1116,1704,118,318,165,711
TraesCS3A03G0146300,204,224,326,161,287,164,2,0,162,461,261,262
TraesCS3A03G0146800,68,112,169,76,65,56,91,140,83,131,95,193
TraesCS3A03G0146900,3,2,3,1,1,0,3,5,0,3,3,6
TraesCS3A03G0147000,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS3A03G0148300,250,510,739,415,191,392,22,57,593,661,586,1069
TraesCS3A03G0150400,244,334,553,157,179,406,22,54,354,431,484,689
TraesCS3A03G0151400,62,84,179,52,12,40,73,154,109,131,157,128
TraesCS3A03G0162100,7,2,8,0,6,23,17,17,2,5,1,13
TraesCS3A03G0162400,28,17,24,5,21,29,31,37,11,21,27,34
TraesCS3A03G0166100,27,20,94,7,20,33,1,7,91,64,104,41
TraesCS3A03G0181900,0,0,0,2,1,0,15,20,2,3,0,13
TraesCS3A03G0189000,0,0,0,0,0,0,11,0,0,0,0,0
TraesCS3A03G0192400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A03G0211300,0,0,4,0,0,0,3,0,0,0,3,38
TraesCS3A03G0255800,137,181,233,71,148,216,186,329,133,233,247,277
TraesCS3A03G0716800,11,10,12,3,11,1,23,43,12,9,18,39
TraesCS3A03G0716900,23,17,61,9,5,25,21,38,43,20,48,28
TraesCS3A03G0717200,70,118,347,57,36,132,19,27,240,110,270,93
TraesCS3A03G0741500,229,243,215,80,151,251,1046,1009,224,399,204,699
TraesCS3A03G0763800,1,1,5,4,4,1,4,4,7,13,7,9
TraesCS3A03G0773300,1,0,3,1,0,0,4,6,1,3,2,1
TraesCS3A03G0773500,29,7,40,6,164,108,5,1,16,18,19,1
TraesCS3A03G0782100,22,51,126,39,4,8,109,224,83,28,110,165
TraesCS3A03G0798800,21,26,132,9,5,26,8,11,89,46,103,27
TraesCS3A03G1019100,131,99,613,43,53,113,83,171,335,55,437,84
TraesCS3A03G1020500,0,0,7,0,0,0,185,474,0,1,7,136
TraesCS3A03G1020900,9,19,20,10,27,72,62,108,6,28,19,57
TraesCS3A03G1021300,17,7,38,3,3,20,63,130,26,21,22,56
TraesCS3A03G1032100,7,34,62,25,1,9,0,1,28,3,53,62
TraesCS3A03G1038100,58,137,145,35,64,267,174,281,89,109,108,318
TraesCS3A03G1122800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A03G1122900,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A03G1123100,0,0,0,0,0,0,5,1,0,0,0,0
TraesCS3A03G1123200,0,0,2,0,2,0,10,17,2,2,0,7
TraesCS3A03G1123500,19,62,9,54,68,20,749,1346,5,51,23,581
TraesCS3A03G1162600,11,8,18,11,0,8,39,40,43,5,31,2
TraesCS3A03G1189300,0,0,2,0,4,0,9,4,2,1,6,0
TraesCS3A03G1226800,169,171,186,65,136,189,126,204,167,181,210,392
TraesCS3A03G1227100,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A03G1228300,0,2,3,1,2,4,18,20,4,1,8,23
TraesCS3A03G1229700,17,12,29,3,1,4,384,528,10,5,14,168
TraesCS3A03G1252500,1,2,0,1,0,0,0,3,1,0,2,5
TraesCS3A03G1271800,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS3A03G1271900,0,0,0,0,0,0,5,0,0,0,0,0
TraesCS3A03G1272100,0,0,0,0,0,0,1,1,0,0,0,0
TraesCS3B03G0042200,0,0,1,0,0,0,1,0,0,0,0,0
TraesCS3B03G0073500,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS3B03G0074200,0,0,0,0,0,0,1,10,0,0,0,2
TraesCS3B03G0076800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3B03G0081100,113,76,264,29,56,122,216,332,111,111,210,197
TraesCS3B03G0082600,23,126,51,69,45,28,16,27,27,102,46,183
TraesCS3B03G0085800,0,15,5,4,7,1,8,1,1,33,8,101
TraesCS3B03G0088800,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS3B03G0090600,8,5,25,2,6,11,8,18,18,11,18,7
TraesCS3B03G0093500,0,0,0,0,0,0,115,301,0,0,0,53
TraesCS3B03G0093600,0,0,0,0,0,0,85,194,0,0,0,31
TraesCS3B03G0101500,86,62,169,9,4,7,0,1,91,20,147,63
TraesCS3B03G0149400,0,0,0,0,0,0,0,2,0,0,0,0
TraesCS3B03G0186300,3,3,9,0,0,0,4,14,2,9,8,15
TraesCS3B03G0186800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3B03G0187000,537,752,1508,396,261,462,3,2,735,994,1036,689
TraesCS3B03G0187200,18,16,42,15,30,28,90,145,26,24,21,111
TraesCS3B03G0187500,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS3B03G0187800,2,8,2,2,0,0,0,0,4,0,3,3
TraesCS3B03G0188200,38,138,138,36,9,17,0,0,71,147,74,114
TraesCS3B03G0188500,0,34,0,9,2,2,0,4,0,38,1,21
TraesCS3B03G0188700,13,26,14,1,0,1,3,13,8,15,12,10
TraesCS3B03G0189500,0,3,1,0,1,0,2,0,1,0,0,5
TraesCS3B03G0190900,122,130,166,148,101,135,48,150,123,291,229,532
TraesCS3B03G0191000,4,0,1,1,0,0,20,1,2,10,0,16
TraesCS3B03G0193500,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS3B03G0193600,8,6,8,5,1,8,5,4,2,10,1,37
TraesCS3B03G0194200,4,10,7,1,6,2,12,15,9,18,7,41
TraesCS3B03G0194400,61,63,117,55,10,80,104,143,81,124,110,210
TraesCS3B03G0203400,4,7,7,2,0,8,6,10,2,1,8,7
TraesCS3B03G0203500,4,10,14,14,5,0,7,10,9,10,10,9
TraesCS3B03G0203600,8,11,9,4,7,6,16,17,6,1,26,5
TraesCS3B03G0222800,0,0,0,0,0,0,1,2,0,0,0,0
TraesCS3B03G0234100,154,255,203,128,155,277,58,75,92,285,144,330
TraesCS3B03G0254500,2,0,1,0,0,0,1,0,0,0,8,68
TraesCS3B03G0322700,64,83,90,32,54,34,91,150,59,95,101,94
TraesCS3B03G0822400,84,112,308,78,53,194,3,5,177,129,293,154
TraesCS3B03G0822600,58,46,300,29,23,107,2,2,179,51,184,49
TraesCS3B03G0822700,82,225,352,67,198,643,4,6,229,267,367,236
TraesCS3B03G0846900,100,88,77,55,80,114,753,770,87,220,94,490
TraesCS3B03G0876800,0,0,13,0,4,33,0,8,11,1,21,0
TraesCS3B03G0890300,12,1,11,2,151,131,1,0,22,16,34,7
TraesCS3B03G0899600,12,10,77,17,3,12,160,237,50,17,52,80
TraesCS3B03G0910600,20,22,22,17,22,30,14,5,13,22,22,63
TraesCS3B03G0910700,24,18,27,11,23,71,19,18,16,15,16,38
TraesCS3B03G0911100,8,12,53,16,4,8,22,50,35,22,26,42
TraesCS3B03G0922800,24,28,68,10,19,69,15,17,28,19,45,45
TraesCS3B03G1154100,0,0,7,2,1,0,10,10,5,0,1,9
TraesCS3B03G1166100,160,21,241,21,55,126,77,233,147,22,241,91
TraesCS3B03G1168000,2,2,16,3,3,7,34,59,5,39,19,241
TraesCS3B03G1169000,26,35,32,15,21,52,363,825,12,42,37,77
TraesCS3B03G1184600,4,7,29,5,0,9,4,0,8,1,20,12
TraesCS3B03G1196200,84,260,215,52,56,218,205,298,116,198,133,332
TraesCS3B03G1196300,323,671,730,191,210,453,271,532,333,706,629,1218
TraesCS3B03G1201100,640,762,1068,249,163,468,705,684,827,932,935,1803
TraesCS3B03G1201200,608,733,1008,226,155,450,677,663,809,922,913,1775
TraesCS3B03G1217700,237,159,215,48,130,298,852,1643,162,218,218,609
TraesCS3B03G1230100,452,749,855,320,350,554,914,1470,584,813,778,1682
TraesCS3B03G1244900,130,102,273,45,36,84,225,570,191,149,241,285
TraesCS3B03G1299800,3,27,9,0,1,0,7,16,5,5,6,15
TraesCS3B03G1300000,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS3B03G1300200,0,0,0,20,2,0,379,710,0,0,6,310
TraesCS3B03G1300300,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS3B03G1300400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3B03G1300500,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS3B03G1300800,0,0,0,0,0,0,2,1,0,0,0,0
TraesCS3B03G1301200,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS3B03G1301300,0,0,0,0,0,0,1,2,0,0,0,0
TraesCS3B03G1346600,289,329,661,153,260,345,228,348,384,348,606,523
TraesCS3B03G1350900,0,0,0,0,0,0,1,1,0,0,0,3
TraesCS3B03G1363300,0,0,0,0,0,0,1,1,1,0,0,0
TraesCS3B03G1364100,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS3B03G1380400,4,19,19,9,45,93,110,164,7,30,12,71
TraesCS3B03G1385100,0,0,2,2,0,2,3,8,0,0,2,44
TraesCS3B03G1388800,2,4,6,0,2,4,2,4,1,0,1,0
TraesCS3B03G1389300,78,46,252,60,59,149,194,323,179,84,204,276
TraesCS3B03G1390000,357,379,894,229,245,373,400,806,472,444,831,665
TraesCS3B03G1390100,39,26,103,82,30,99,48,130,49,69,82,106
TraesCS3B03G1390300,603,554,1306,263,328,564,729,1386,802,567,1148,1007
TraesCS3B03G1425200,54,15,97,12,10,9,5,24,53,49,107,106
TraesCS3B03G1425300,302,204,444,142,50,219,14,45,360,362,694,833
TraesCS3B03G1428700,0,0,4,0,1,0,4,5,2,3,2,2
TraesCS3B03G1433200,25,18,8,0,0,5,290,494,21,42,20,116
TraesCS3B03G1433700,66,262,155,44,64,174,96,88,71,302,145,229
TraesCS3B03G1433800,87,95,80,13,37,117,58,67,78,118,118,201
TraesCS3B03G1433900,48,81,71,20,19,107,41,61,64,62,94,131
TraesCS3B03G1434000,181,223,283,115,202,285,319,461,156,320,254,391
TraesCS3B03G1438900,5,0,9,7,7,22,5,16,2,15,3,16
TraesCS3B03G1439400,5,7,3,5,1,4,28,47,3,2,5,5
TraesCS3B03G1440400,0,0,3,1,7,0,0,0,0,0,0,7
TraesCS3B03G1440600,11,2,8,1,1,6,2,2,5,2,3,9
TraesCS3B03G1468400,424,693,917,153,118,311,70,195,451,391,839,430
TraesCS3B03G1468700,58,107,116,9,0,17,5,3,37,33,72,43
TraesCS3B03G1469100,45,52,94,22,19,70,49,114,52,59,95,93
TraesCS3B03G1469300,0,0,0,0,0,0,16,21,0,0,0,0
TraesCS3B03G1471100,0,0,0,0,0,0,1,4,0,0,0,7
TraesCS3B03G1471200,19,23,11,25,40,27,251,413,11,40,15,101
TraesCS3B03G1471600,12,24,39,16,14,18,74,133,19,31,44,96
TraesCS3B03G1471700,2,0,2,3,1,0,0,0,1,1,15,14
TraesCS3B03G1472200,18,31,38,9,8,21,11,73,25,37,34,38
TraesCS3B03G1472800,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS3B03G1473400,0,2,0,1,1,1,4,3,0,9,0,14
TraesCS3B03G1473700,0,0,0,0,0,0,1,0,0,0,0,4
TraesCS3B03G1474000,79,229,236,94,154,268,231,359,128,248,223,412
TraesCS3B03G1474100,210,458,98,38,106,399,534,1130,118,307,147,362
TraesCS3B03G1475700,0,0,0,0,0,0,1,2,0,0,0,0
TraesCS3B03G1475800,0,0,1,0,0,0,4,1,0,0,0,0
TraesCS3B03G1475900,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS3B03G1476000,0,0,1,0,0,0,2,0,0,0,0,3
TraesCS3B03G1476100,1,3,0,1,0,0,4,0,0,0,0,0
TraesCS3B03G1482600,1156,1611,1315,695,715,1439,56,176,572,1615,1212,1538
TraesCS3B03G1484000,142,108,156,45,51,109,208,340,97,109,231,234
TraesCS3B03G1509400,422,799,411,569,728,1038,3,0,110,1038,301,816
TraesCS3B03G1516900,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS3B03G1517000,0,0,0,0,0,0,6,1,0,0,0,0
TraesCS3B03G1518300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3B03G1523800,117,18,93,3,75,648,323,940,63,24,158,298
TraesCS3B03G1523900,59,32,50,16,114,114,318,706,32,35,104,557
TraesCS3B03G1524400,0,0,0,0,0,0,2,2,0,0,0,2
TraesCS3B03G1525800,104,51,346,56,44,217,260,568,149,115,269,221
TraesCS3D03G0015400,32,112,86,45,49,53,73,96,20,155,52,237
TraesCS3D03G0015600,72,267,143,61,95,84,134,129,75,200,120,273
TraesCS3D03G0017300,17,8,40,8,9,15,14,14,24,25,38,21
TraesCS3D03G0018200,37,57,113,23,17,25,49,144,78,46,81,103
TraesCS3D03G0023000,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS3D03G0023100,0,2,1,0,0,0,0,0,1,0,0,0
TraesCS3D03G0023200,790,1114,984,790,442,775,975,1522,626,1256,873,1956
TraesCS3D03G0023300,230,468,426,154,221,351,443,912,263,473,386,743
TraesCS3D03G0038200,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3D03G0052400,42,39,78,15,28,86,382,745,50,79,63,193
TraesCS3D03G0055300,25,28,29,20,40,13,20,18,20,53,40,41
TraesCS3D03G0057600,270,209,972,52,42,238,1,0,663,316,702,370
TraesCS3D03G0059300,19,75,68,88,37,16,27,44,17,86,30,250
TraesCS3D03G0065400,0,1,2,0,0,0,2,3,2,1,0,2
TraesCS3D03G0066900,2,0,14,2,0,12,12,10,4,4,9,8
TraesCS3D03G0070700,197,195,318,71,67,168,213,440,145,118,292,259
TraesCS3D03G0073600,40,21,130,0,0,3,0,0,57,0,97,2
TraesCS3D03G0074200,136,97,309,34,2,43,2,0,183,47,361,75
TraesCS3D03G0105400,0,0,0,0,0,0,15,31,0,0,0,4
TraesCS3D03G0131800,58,52,39,32,43,23,922,1873,33,57,58,221
TraesCS3D03G0132000,0,0,0,0,0,8,0,0,0,3,5,7
TraesCS3D03G0133200,12,14,21,5,1,0,3,9,16,21,27,33
TraesCS3D03G0144500,8,2,28,4,13,43,28,18,11,14,16,18
TraesCS3D03G0144700,65,103,95,23,34,47,39,60,60,59,99,71
TraesCS3D03G0149700,183,101,339,38,33,84,232,325,288,46,353,335
TraesCS3D03G0163000,6,1,8,5,6,10,278,316,7,2,20,141
TraesCS3D03G0171400,17,45,57,20,26,52,15,19,39,40,55,52
TraesCS3D03G0191700,0,0,0,0,0,0,3,0,0,0,0,5
TraesCS3D03G0659400,71,100,271,72,56,149,17,20,163,115,239,160
TraesCS3D03G0683400,219,253,221,77,150,244,799,813,218,337,207,624
TraesCS3D03G0705600,13,9,22,9,7,17,44,59,17,15,33,50
TraesCS3D03G0714200,2,4,13,4,2,7,12,11,5,26,8,17
TraesCS3D03G0721700,17,32,200,26,3,7,195,319,128,26,104,130
TraesCS3D03G0728800,9,17,19,9,6,24,7,9,10,3,13,39
TraesCS3D03G0728900,41,46,78,29,68,124,39,59,41,60,70,78
TraesCS3D03G0737800,36,24,209,9,10,75,45,70,119,44,169,89
TraesCS3D03G0923800,4,1,5,0,3,0,11,23,3,9,10,1
TraesCS3D03G0934500,0,0,0,0,0,0,35,22,0,0,0,20
TraesCS3D03G0946500,67,30,265,10,79,160,73,204,162,17,140,49
TraesCS3D03G0947600,2,1,7,2,1,18,36,89,0,4,7,113
TraesCS3D03G0948200,75,22,115,12,26,6,38,91,36,96,274,397
TraesCS3D03G0948400,5,1,6,0,0,0,8,12,3,5,10,71
TraesCS3D03G0966600,192,805,405,184,98,407,335,609,233,557,272,848
TraesCS3D03G0966800,183,374,634,89,56,198,167,231,342,232,413,585
TraesCS3D03G0980300,216,207,290,68,143,229,745,1354,158,283,269,531
TraesCS3D03G1013200,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS3D03G1032300,1,0,3,1,5,7,13,3,2,2,2,6
TraesCS3D03G1032900,32,27,57,17,19,36,51,145,32,39,35,49
TraesCS3D03G1033200,5,3,0,0,0,2,54,30,1,18,3,5
TraesCS3D03G1033800,0,0,1,0,0,0,3,9,0,0,0,0
TraesCS3D03G1034500,0,0,0,0,0,0,4,0,0,0,0,0
TraesCS3D03G1044200,0,0,0,0,0,0,10,7,0,1,0,10
TraesCS3D03G1044400,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS3D03G1046500,0,0,0,0,0,0,2,0,0,1,0,0
TraesCS3D03G1046600,0,0,0,0,0,0,10,6,0,1,0,10
TraesCS3D03G1047100,75,156,143,43,65,121,164,282,99,124,126,209
TraesCS3D03G1047200,3,0,0,0,0,0,5,7,1,0,1,11
TraesCS3D03G1078400,176,221,477,157,143,342,130,229,263,312,427,387
TraesCS3D03G1086900,58,72,102,32,34,124,246,386,65,165,100,239
TraesCS3D03G1087400,1,5,2,3,0,0,0,0,1,2,0,9
TraesCS3D03G1092200,23,7,40,10,43,68,11,10,8,38,38,40
TraesCS3D03G1108200,0,0,1,0,0,0,5,0,0,0,1,1
TraesCS3D03G1108500,20,77,114,95,98,146,73,131,87,114,112,198
TraesCS3D03G1109500,0,5,0,0,0,0,3,8,0,0,0,8
TraesCS3D03G1121600,1,2,0,0,0,0,4,6,1,1,0,15
TraesCS3D03G1130100,20,9,37,1,5,16,6,7,27,5,24,49
TraesCS3D03G1133600,0,0,0,0,0,0,3,1,0,0,0,0
TraesCS3D03G1133900,31,18,74,9,9,27,5,8,43,19,98,98
TraesCS3D03G1134400,329,408,404,112,202,518,536,831,207,326,320,683
TraesCS3D03G1134600,113,167,270,54,128,244,288,422,166,234,227,341
TraesCS3D03G1140100,426,502,380,223,109,112,14,14,167,304,293,307
TraesCS3D03G1140200,19,53,27,20,44,71,38,40,14,46,29,117
TraesCS3D03G1143500,417,495,243,50,202,227,749,1272,295,269,422,660
TraesCS3D03G1164300,0,1,0,0,0,0,2,2,0,0,0,0
TraesCS3D03G1168000,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS3D03G1168800,8,4,11,5,6,3,20,42,6,6,10,27
TraesCS3D03G1174700,264,177,388,52,83,111,378,588,245,184,423,428
TraesCS3D03G1194100,0,0,1,0,0,0,1,2,0,0,0,3
TraesCS4A03G0049100,249,314,296,95,134,282,440,797,192,211,259,481
TraesCS4A03G0168800,56,2,21,11,13,23,607,1333,13,0,54,283
TraesCS4A03G0480900,272,209,154,33,46,112,217,387,109,97,147,156
TraesCS4A03G0521900,55,92,62,30,91,141,58,73,28,99,40,68
TraesCS4A03G0557100,41,74,43,5,19,58,0,6,26,19,47,95
TraesCS4A03G0595200,118,81,160,93,172,499,141,192,81,148,191,142
TraesCS4A03G0595300,11,37,18,14,21,46,93,252,8,41,26,79
TraesCS4A03G0595900,85,174,303,115,111,160,99,241,83,265,142,607
TraesCS4A03G0596900,145,402,253,169,139,370,146,223,115,402,219,610
TraesCS4A03G0597100,174,244,183,158,249,337,453,815,90,486,192,1126
TraesCS4A03G0773000,55,218,90,16,10,14,22,31,37,138,72,132
TraesCS4A03G0775600,124,118,111,48,65,56,467,839,94,94,112,255
TraesCS4A03G0775700,235,162,156,71,64,139,735,1307,146,167,199,615
TraesCS4A03G0776800,1,0,0,0,0,0,11,6,1,0,0,13
TraesCS4A03G0781400,3,2,1,1,3,0,13,16,1,16,0,7
TraesCS4A03G0781500,4,3,8,1,3,3,7,17,2,7,6,7
TraesCS4A03G0784900,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A03G0785900,33,37,53,3,17,32,485,913,12,18,25,305
TraesCS4A03G0796900,57,59,334,38,65,125,88,178,198,83,199,183
TraesCS4A03G0797500,32,38,104,14,10,61,16,22,57,61,65,76
TraesCS4A03G0813800,43,106,50,33,56,69,109,173,27,117,33,146
TraesCS4A03G0816700,149,244,443,80,125,138,375,495,304,292,406,419
TraesCS4A03G0843900,24,6,56,2,72,17,75,107,15,9,28,14
TraesCS4A03G0844100,0,0,0,0,0,0,5,1,0,0,0,0
TraesCS4A03G0844300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A03G0866200,509,686,896,192,364,931,486,1027,482,670,730,1114
TraesCS4A03G0866300,19,37,31,7,14,52,11,39,12,15,12,38
TraesCS4A03G0930500,0,0,0,0,0,0,2,5,0,0,0,0
TraesCS4A03G0948100,26,7,17,0,0,0,4,1,11,1,11,9
TraesCS4A03G0972100,24,91,159,42,88,171,2,0,37,106,46,62
TraesCS4A03G0972200,57,83,82,27,16,99,15,57,40,48,45,116
TraesCS4A03G0994100,0,0,0,0,0,0,5,42,0,0,0,21
TraesCS4A03G0994900,4,0,8,1,2,0,87,233,10,3,14,69
TraesCS4A03G0996500,1,0,0,2,2,2,33,53,0,3,3,20
TraesCS4A03G0999800,373,237,909,176,116,215,8,19,424,307,863,420
TraesCS4A03G1001500,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A03G1027300,24,8,50,28,25,0,20,45,25,18,53,125
TraesCS4A03G1027400,5,3,19,10,6,8,10,24,7,3,29,65
TraesCS4A03G1033700,0,0,0,0,0,0,5,7,1,0,2,0
TraesCS4A03G1034100,0,0,0,4,1,0,5,6,1,0,1,21
TraesCS4A03G1034900,33,47,74,26,12,116,23,28,32,41,52,67
TraesCS4A03G1048900,1,2,2,0,0,0,4,9,1,0,0,0
TraesCS4A03G1059500,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS4A03G1088400,0,0,0,0,0,0,1,1,0,0,0,0
TraesCS4A03G1110100,6,5,5,3,0,0,13,17,4,13,9,63
TraesCS4A03G1110300,15,23,4,0,0,0,2,4,18,35,13,53
TraesCS4A03G1117300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A03G1117400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A03G1117600,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A03G1117800,319,519,561,655,708,324,35,43,325,1170,709,1507
TraesCS4A03G1117900,811,1013,2396,179,530,1261,4,1,1735,1637,2183,662
TraesCS4A03G1118300,1,0,1,0,0,0,2,7,0,0,2,49
TraesCS4A03G1118700,6,6,18,12,5,0,200,346,11,12,29,121
TraesCS4A03G1122400,0,0,0,0,4,0,701,966,0,0,0,33
TraesCS4A03G1122800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A03G1122900,0,0,0,0,0,0,9,0,0,0,0,0
TraesCS4A03G1123000,36,82,30,18,31,28,2,0,32,56,44,52
TraesCS4A03G1123100,250,266,389,175,276,284,37,23,133,298,233,349
TraesCS4A03G1124900,0,0,0,0,0,0,1,1,0,0,0,0
TraesCS4A03G1125700,6,52,14,10,7,34,2,0,9,34,19,22
TraesCS4A03G1125800,0,0,0,0,0,0,15,10,0,0,0,5
TraesCS4A03G1127500,0,0,0,1,0,0,7,2,1,0,0,0
TraesCS4A03G1136800,3,0,0,1,0,2,14,27,0,4,0,13
TraesCS4A03G1138600,15,15,57,18,6,12,1,2,48,64,56,49
TraesCS4A03G1151600,28,33,62,20,16,24,244,350,34,53,52,160
TraesCS4A03G1152300,81,87,100,68,36,105,71,75,46,150,82,109
TraesCS4A03G1152600,119,229,194,101,91,189,291,560,128,353,127,492
TraesCS4A03G1156900,0,0,0,0,0,0,2,1,0,0,0,0
TraesCS4A03G1161500,151,197,394,138,96,284,285,469,182,235,337,432
TraesCS4A03G1161600,0,0,0,0,0,0,27,40,0,0,0,12
TraesCS4A03G1164300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A03G1164400,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS4A03G1167700,36,57,66,35,45,85,101,126,37,136,72,227
TraesCS4A03G1168000,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS4A03G1168100,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS4A03G1169000,0,0,0,0,0,6,1,3,0,0,0,12
TraesCS4A03G1170600,28,70,34,24,36,54,107,170,19,69,42,199
TraesCS4A03G1171000,12,46,30,15,14,20,51,141,2,61,28,75
TraesCS4A03G1172200,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A03G1173600,10,19,25,14,0,33,25,79,7,19,11,34
TraesCS4A03G1174000,10,24,28,11,9,23,38,87,18,17,18,58
TraesCS4A03G1174700,1,5,9,4,15,11,514,762,0,11,6,170
TraesCS4A03G1175000,75,48,138,23,12,26,60,153,108,32,125,225
TraesCS4A03G1175100,0,4,6,2,0,7,50,116,0,3,9,20
TraesCS4A03G1175400,10,27,29,6,16,51,34,42,17,58,32,84
TraesCS4A03G1177200,0,5,0,0,0,0,1,0,0,1,0,2
TraesCS4A03G1183000,0,0,6,0,0,0,2,8,2,0,6,4
TraesCS4A03G1184000,0,0,0,1,0,0,4,0,1,2,0,1
TraesCS4A03G1184600,185,699,110,106,235,314,0,0,101,294,70,254
TraesCS4A03G1185000,0,0,0,0,0,0,1,0,0,0,0,6
TraesCS4A03G1185500,6,21,23,68,5,3,2,0,14,102,8,50
TraesCS4A03G1186200,13,26,108,52,34,85,0,1,45,64,64,38
TraesCS4A03G1187200,0,4,4,6,6,10,0,0,1,13,5,5
TraesCS4A03G1187900,189,293,727,196,188,225,1,1,445,405,506,303
TraesCS4A03G1197200,486,356,957,180,173,304,902,1590,671,382,1034,884
TraesCS4A03G1198600,20,26,21,5,11,45,11,16,32,153,50,88
TraesCS4A03G1199000,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS4A03G1199300,329,560,860,158,118,178,3,2,432,516,808,517
TraesCS4A03G1200300,0,0,0,0,0,0,0,0,0,1,1,5
TraesCS4A03G1200600,0,1,3,0,0,0,2,0,0,6,1,2
TraesCS4A03G1201000,0,0,0,0,0,0,93,157,0,0,0,5
TraesCS4A03G1201900,315,444,782,153,67,63,3,2,376,515,770,491
TraesCS4A03G1202000,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS4A03G1204000,0,0,0,0,0,0,0,1,0,0,0,3
TraesCS4A03G1204700,4,15,36,8,4,0,2,4,35,8,32,25
TraesCS4A03G1205300,457,433,659,148,167,149,9,19,408,533,706,406
TraesCS4A03G1206100,0,2,0,0,0,0,6,11,1,0,2,1
TraesCS4A03G1206600,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS4A03G1206800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A03G1207000,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS4A03G1207400,1,4,4,3,0,0,0,1,1,19,14,34
TraesCS4A03G1207600,17,112,81,28,8,80,2,13,53,95,51,152
TraesCS4A03G1208100,0,0,2,0,0,0,1,1,0,0,0,0
TraesCS4A03G1209500,695,1182,1399,332,361,538,79,138,690,987,1332,1025
TraesCS4A03G1210000,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS4A03G1210800,108,51,226,51,132,246,250,536,136,120,222,337
TraesCS4A03G1211000,0,0,0,0,0,0,0,0,0,1,0,2
TraesCS4A03G1211100,0,0,0,0,0,0,0,0,0,0,1,0
